name,description,base_price,category_id,exclusions
DIY Breakfast Egg Sandwich,"2 eggs, with your choice of cheese, meat, and your choice of bread.",2.49,3,
DIY Bagel Breakfast Sandwich ,"2 eggs, with your choice of cheese and meat on a toasted plain bagel.",3.49,3,
DIY Croissant Breakfast Sandwich ,"2 eggs, with your choice of cheese and meat on a toasted croissant.",3.49,3,
Bagel with Cream Cheese,Bagel with cream cheese.,2.50,3,
Plain Croissant,Plain croissant.,1.29,7,
Pancakes (3 pieces),Homemade buttermilk pancakes.,3.99,7,
French Toast (3 pieces),Homemade french toast.,3.99,7,
Home Fries Side,A side of freshly made golden brown home fries.,3.99,7,
DIY Original Breakfast Burrito,"2 eggs, cheese, and your choice of protein wrapped in a large flour tortilla.",4.99,4,
Country Burrito,"2 eggs, sausage, home fries, and american cheese wrapped in a large flour tortilla.",5.49,4,"Home Fries, Cheese"
Beef Country Burrito,"2 eggs, grilled shaved rib eye, grilled onion, home fries, and american cheese wrapped in a large flour tortilla.",5.99,4,"Grilled Onion, Home Fries, Cheese"
Turkey & Cheese Burrito,"2 eggs, turkey, mushroom, grilled onion, and american cheese wrapped in a large flour tortilla.",5.49,4,"Mushroom, Grilled Onion, Cheese,"
Two Eggs Platter ,2 eggs served with home fries and 2 slices of your choice of toast.,4.99,5,"Home Fries, Toast"
DIY Two Eggs & Meat Platter,2 eggs and your choice of protein served with home fries and 2 slices of toast.,5.99,5,"Home Fries, Toast"
Cheese Omelet,Cheese omelet served with home fries and 2 slices of your choice of toast.,4.99,6,Cheese
DIY Breakfast Cheese & Meat Omelet,Egg omelet with cheese and your choice of protein served with a side of home fries and 2 slices of toast.,5.99,6,
Vegetable Omelet,"Egg omelet with cheese, green bell pepper, onion, tomato, and mushroom served with a side of home fries and 2 slices of toast.",5.99,6,"Green Bell Pepper, Onion, Tomato, Mushroom, Cheese"
Western Omelet,"Egg omelet with ham, cheese, green bell pepper, onion, tomato, and mushroom served with a side of home fries and 2 slices of toast.",6.99,6,"Ham, Green Bell Pepper, Onion, Tomato, Mushroom, Cheese"
Steak & Cheese Omelet,"Egg omelet with grilled shaved rib eye, cheese, and onion served with a side of home fries and 2 slices of toast.",6.99,6,"Rib Eye, Cheese, Onion"
Dad's Special Sub (Italian Sub),"Ham, salami, pepperoni, capicola, provolone cheese, lettuce, tomato, onion, and mayo served on a 8"" or 12"" white sub.",7.99,8,"Ham, Salami, Pepperoni, Capicola, Provolone Cheese, Lettuce, Tomato, Onion, Mayo"
Mom's Special Sub,"Turkey, roast beef, bacon, provolone cheese, lettuce, tomato, onion, and mayo served on a 8"" or 12"" white sub.",7.99,8,"Turkey, Roast Beef, Bacon, Provolone Cheese, Lettuce, Tomato, Onion, Mayo"
Roast Beef Sub,"Roast beef, provolone cheese, lettuce, tomato, onion, and mayo served on a 8"" or 12"" white sub.",7.99,8,"Roast Beef, Provolone Cheese, Lettuce, Tomato, Onion, Mayo"
Turkey & Provolone Sub,"Turkey, provolone cheese, lettuce, tomato, onion, and mayo served on a 8"" or 12"" white sub.",7.99,8,"Turkey, Provolone Cheese, Lettuce, Tomato, Onion, Mayo"
Ham & Cheese Sub,"Ham, provolone cheese, lettuce, tomato, onion, and mayo served on a 8"" or 12"" white sub.",7.99,8,"Ham, Provolone Cheese, Lettuce, Tomato, Onion, Mayo"
Veggie Sub,"Provolone cheese, american cheese, swiss cheese, lettuce, tomato, onion, green bell pepper, carrot, cucumber, mushroom, and mayo served on a 8"" or 12"" white sub.",7.99,8,"Provolone Cheese, American Cheese, Swiss Cheese, Lettuce, Tomato, Onion, Green Bell Pepper, Carrot, Cucumber, Mushroom, Mayo"
New Yorker Sub,"Corned beef, pastrami, swiss cheese, lettuce, tomato, onion, and spicy mustard served on a 8"" or 12"" white sub.",7.99,8,"Corned Beef, Pastrami, Swiss Cheese, Lettuce, Tomato, Onion, Spicy Mustard"
Steak & Cheese Sub,"Grilled Shaved Rib Eye, provolone cheese, lettuce, tomato, grilled onion, and mayo served on a 8"" or 12"" white sub.",7.99,8,"Rib Eye, Provolone Cheese, Lettuce, Tomato, Grilled Onion, Mayo"
Grilled Chicken & Cheese Sub,"Grilled Chicken Breast, provolone cheese, lettuce, tomato, grilled onion, and mayo served on a 8"" or 12"" white sub.",7.99,8,"Chicken, Provolone Cheese, Lettuce, Tomato, Grilled Onion, Mayo"
Teriyaki Steak & Cheese Sub,"Teriyaki glazed grilled shaved rib eye, provolone cheese, lettuce, tomato, grilled onion, and mayo served on a 8"" or 12"" white sub.",7.99,8,"Rib Eye, Provolone Cheese, Lettuce, Tomato, Grilled Onion, Mayo"
